city,year,cable,fiber,mobile broadband dedicated,number of broadband subscriptions - total,number of cable tv subscriptions,number of fixed broadband subscriptions - total,number of fixed telephony access lines,number of mobile broadband subscriptions - total,number of mobile telephony subscriptions  3g+4.5g,number of mobile telephony subscriptions - 2g,number of mobile telephony subscriptions - 3g,number of mobile telephony subscriptions - total,number of payhones,other,population,santral capacity for fixed telephony,standard mobile broadband,the length of fiber-km,xdsl
ADANA,2007,0,0,0,0,41115,0,402348,0,0,0,0,1759062,2022,0,2006650,523425,0,0,0
ADANA,2008,0,0,0,0,40400,0,369043,0,0,0,0,1889383,1986,0,2026319,534366,0,0,0
ADANA,2009,0,0,0,0,43826,0,332356,0,0,0,0,1768410,1912,0,2062226,525061,0,0,0
ADANA,2010,0,0,0,0,51835,0,310454,0,0,1172924,542370,1715294,1877,0,2085225,529486,0,0,0
ADANA,2011,30406,21286,29052,561382,57089,167692,270622,393690,846639,983747,0,1830386,1786,126,2108805,596315,364638,0,115874
ADANA,2012,29739,33984,33939,688428,54652,184278,223992,504150,1131152,755860,0,1887012,1705,149,2125635,642813,470211,5205,120406
ADANA,2013,25015,44191,34120,818237,48198,196773,244392,621464,1346605,604306,0,1950911,1516,208,2149260,653019,587344,5760,127359
ADANA,2014,27355,51347,26638,1083065,47642,210073,217236,872992,1636760,365313,0,2002073,1379,219,2165595,470088,846354,6339,131152
ADANA,2015,30139,58766,29738,1280605,46546,225798,191438,1054807,1610781,421704,0,2032485,1275,221,2183167,452914,1025069,6887,136672
ADANA,2016,35442,66005,24895,1703083,48102,251442,185835,1451641,1966478,109352,0,2075830,1187,653,2201670,335232,1426746,6929,149342
ADANA,2017,38910,74752,17846,1900719,49167,290043,193216,1610676,2104713,67833,0,2172546,1132,2031,2216475,332966,1592830,7528,174350
ADANA,2018,40787,84086,13259,2019748,48610,324919,203866,1694829,2154920,49769,0,2204689,1147,4710,2220125,327020,1681570,8234,195336
ADANA,2019,43566,93799,15482,2026852,47777,342019,199254,1684833,2083065,33699,0,2116764,1087,5802,2237940,333899,1669351,9113,198852
ADANA,2020,49578,114239,7953,2195181,49956,401059,223405,1794122,2122654,31353,0,2154007,1036,5327,2258718,350048,1786169,9733,231915
ADANA,2021,49743,132074,7546,2410202,48768,439737,223688,1970465,2230410,34118,0,2264528,1018,10321,2263373,355958,1962919,10458,247599
ADIYAMAN,2007,0,0,0,0,0,0,62622,0,0,0,0,362677,345,0,582762,95828,0,0,0
ADIYAMAN,2008,0,0,0,0,0,0,54042,0,0,0,0,395508,339,0,585067,93966,0,0,0
ADIYAMAN,2009,0,0,0,0,0,0,48248,0,0,0,0,381844,337,0,588475,81854,0,0,0
ADIYAMAN,2010,0,0,0,0,0,0,44933,0,0,252646,135825,388471,349,0,590935,81854,0,0,0
ADIYAMAN,2011,0,0,4651,114517,0,18196,41676,96321,216388,184089,0,400477,356,19,593931,87326,91670,0,18177
ADIYAMAN,2012,0,1039,5852,136288,0,18474,38550,117814,267609,154040,0,421649,366,23,595261,81634,111962,1625,17412
ADIYAMAN,2013,0,2569,6715,172814,0,20765,37341,152049,336785,125564,0,462349,368,61,597184,89067,145334,1710,18135
ADIYAMAN,2014,0,3285,5852,255192,0,22153,35661,233039,444310,74831,0,519141,339,73,597835,83047,227187,1666,18795
ADIYAMAN,2015,0,3920,7245,324020,0,24511,34726,299509,460350,86903,0,547253,336,29,602774,55048,292264,1737,20562
ADIYAMAN,2016,0,4968,6549,434982,0,28677,33851,406305,529976,18680,0,548656,336,34,610484,56090,399756,1889,23675
ADIYAMAN,2017,0,6734,5211,497681,0,35465,34838,462216,570445,10985,0,581430,346,34,615076,55032,457005,2095,28697
ADIYAMAN,2018,0,8742,4481,531011,0,42581,40062,488430,597724,4466,0,602190,329,31,624513,44840,483949,2177,33808
ADIYAMAN,2019,0,10603,4790,514193,0,47106,42216,467087,551508,2565,0,554073,220,202,626465,42792,462297,2420,36301
ADIYAMAN,2020,0,17073,3068,563133,0,65718,52006,497415,557669,2364,0,560033,182,29,632459,48224,494347,2691,48616
ADIYAMAN,2021,0,21095,2945,678656,0,73010,53844,605646,625261,6030,0,631291,161,34,632148,61423,602701,2983,51881
AFYONKARAHİSAR,2007,0,0,0,0,0,0,152298,0,0,0,0,402584,677,0,701572,188626,0,0,0
AFYONKARAHİSAR,2008,0,0,0,0,0,0,144076,0,0,0,0,523484,690,0,697365,179153,0,0,0
AFYONKARAHİSAR,2009,0,0,0,0,0,0,134154,0,0,0,0,519525,617,0,701326,186323,0,0,0
AFYONKARAHİSAR,2010,0,0,0,0,0,0,129373,0,0,367871,145182,513053,650,0,697559,188911,0,0,0
AFYONKARAHİSAR,2011,0,0,8702,149261,0,44966,118234,104295,235358,316310,0,551668,650,35,698626,181322,95593,0,44931
AFYONKARAHİSAR,2012,0,1916,11313,187751,0,44429,103850,143322,307838,268578,0,576416,659,42,703948,190437,132009,2834,42471
